CustomerID,Name,Email,Age,Region
1,"Alice","alice@example.com",25,"North"
2,"Bob","bob@example.com",30,"East"
3,"Charlie","charlie@example.com",,"West"
4,"David","david@example.com",35,"South"
5,"Eva",,28,"North"
6,"Frank","frank@example.com",40,
7,"Grace","grace@example.com",32,"East"
8,"Hank","hank@example.com",27,"West"
9,,"ivy@example.com",29,"South"
10,"Jack","jack@example.com",31,"North"
11,"Kara","kara@example.com",,"East"
12,"Leo",,45,"West"
13,"Mia","mia@example.com",22,"South"
14,"Nina","nina@example.com",37,"North"
15,"Owen","owen@example.com",26,
16,,"paul@example.com",33,"West"
17,"Quinn","quinn@example.com",38,"South"
18,"Rick","rick@example.com",29,"North"
19,"Sara",,34,"East"
20,"Tom","tom@example.com",41,"West"
21,"Uma","uma@example.com",,"South"
22,"Vera","vera@example.com",23,"North"
23,"Will","will@example.com",35,"East"
24,,"xander@example.com",36,"West"
25,"Yara","yara@example.com",28,
26,"Zane","zane@example.com",39,"North"
27,"Liam","liam@example.com",24,"North"
28,"Noah","noah@example.com",33,"East"
29,"Emma","emma@example.com",27,"South"
30,"Olivia","olivia@example.com",31,"West"
